 dm	 m	 h	G_Dh	G_h	 Ta	 FF	 DD	 RH	RR	N
 25	 2	 18	90	176	18.9	3.3	5	39	0.0	6
 25	 2	 19	9	9	17.6	2.5	43	43	0.0	6
 25	 2	 20	0	0	16.3	2.7	35	51	0.0	6
 25	 2	 21	0	0	15.0	3.5	20	53	0.0	6
 25	 2	 22	0	0	13.7	2.9	41	56	0.0	7
 25	 2	 23	0	0	12.4	2.1	31	61	0.0	7
 25	 2	 24	0	0	11.1	2.1	343	66	0.0	7
 26	 2	 1	0	0	10.0	1.5	20	73	0.0	7
 26	 2	 2	0	0	8.7	0.6	1	78	0.0	7
 26	 2	 3	0	0	7.3	1.9	339	83	0.0	7
 26	 2	 4	0	0	6.6	2.3	21	86	0.0	7
 26	 2	 5	0	0	5.9	2.1	22	89	0.0	7
 26	 2	 6	0	0	5.4	1.3	26	89	0.0	7
 26	 2	 7	0	0	4.9	1.1	55	94	0.0	8
 26	 2	 8	15	15	5.3	0.4	44	92	0.0	8
 26	 2	 9	121	141	7.5	0.3	0	84	0.0	8
 26	 2	 10	236	279	9.8	0.1	92	73	0.0	8
 26	 2	 11	306	390	12.0	0.4	135	61	0.0	7
 26	 2	 12	359	432	13.5	0.8	157	57	0.0	8
 26	 2	 13	365	432	14.5	0.6	119	51	0.0	8
 26	 2	 14	375	430	15.1	1.1	145	48	0.0	8
 26	 2	 15	336	391	15.4	1.5	97	47	0.0	8
 26	 2	 16	275	322	15.3	2.3	127	48	0.0	8
 26	 2	 17	167	176	14.3	2.1	186	52	0.0	8
 26	 2	 18	72	74	12.9	2.3	115	57	0.0	8
 26	 2	 19	1	1	11.3	3.5	146	58	0.0	8
 26	 2	 20	0	0	10.7	3.3	139	64	0.0	8
 26	 2	 21	0	0	10.0	2.3	142	69	0.0	8
 26	 2	 22	0	0	9.3	3.1	152	69	0.0	7
 26	 2	 23	0	0	8.6	2.3	163	74	0.0	7
 26	 2	 24	0	0	8.0	1.9	86	76	0.0	7
 27	 2	 1	0	0	7.8	0.9	75	75	0.0	7
 27	 2	 2	0	0	7.7	0.9	103	76	0.0	7
 27	 2	 3	0	0	7.6	2.5	144	77	0.0	7
 27	 2	 4	0	0	7.6	1.9	95	79	0.0	7
 27	 2	 5	0	0	7.6	2.1	12	77	0.0	7
 27	 2	 6	0	0	7.6	1.5	18	80	0.0	7
 27	 2	 7	0	0	7.6	1.9	35	82	0.0	6
 27	 2	 8	14	14	8.3	1.5	350	81	0.0	6
 27	 2	 9	123	180	12.2	1.1	348	68	0.0	6
 27	 2	 10	247	308	15.6	1.7	357	55	0.0	7
 27	 2	 11	309	397	18.3	2.5	91	47	0.0	7
 27	 2	 12	374	509	21.0	3.3	40	39	0.0	7
 27	 2	 13	365	608	23.6	3.3	89	31	0.0	6
 27	 2	 14	295	685	26.0	3.9	167	28	0.0	4
 27	 2	 15	311	536	27.0	3.9	204	26	0.0	6
 27	 2	 16	223	448	27.2	3.7	148	26	0.0	5
 27	 2	 17	124	336	26.7	5.0	135	27	0.0	2
 27	 2	 18	97	177	25.1	5.0	209	30	0.0	4
 27	 2	 19	8	8	22.6	4.1	182	38	0.0	4
 27	 2	 20	0	0	21.4	4.3	12	49	0.0	4
 27	 2	 21	0	0	20.3	3.5	351	53	0.0	4
 27	 2	 22	0	0	19.1	3.9	9	60	0.0	4
 27	 2	 23	0	0	17.9	4.5	3	66	0.0	4
 27	 2	 24	0	0	16.7	3.9	65	71	0.0	5
 28	 2	 1	0	0	15.3	4.1	358	70	0.0	5
 28	 2	 2	0	0	13.9	5.0	14	77	0.0	5
 28	 2	 3	0	0	12.5	6.3	351	81	0.0	5
 28	 2	 4	0	0	11.8	6.3	9	87	0.0	5
 28	 2	 5	0	0	11.1	4.5	54	92	0.0	5
 28	 2	 6	0	0	10.6	3.9	64	100	0.0	5
 28	 2	 7	0	0	10.1	5.0	156	100	0.0	5
 28	 2	 8	26	26	11.0	5.5	166	100	0.0	5
 28	 2	 9	124	222	14.6	5.5	140	91	0.0	5
 28	 2	 10	163	401	17.9	5.3	184	69	0.0	3
 28	 2	 11	193	567	21.0	4.3	76	59	0.0	3
 28	 2	 12	221	689	23.8	3.5	162	49	0.0	3
 28	 2	 13	269	705	25.7	3.1	152	43	0.0	4
 28	 2	 14	218	710	27.1	3.3	152	36	0.0	2
 28	 2	 15	215	633	27.8	2.9	219	34	0.0	3
 28	 2	 16	165	494	27.8	2.3	227	33	0.0	2
 28	 2	 17	119	318	26.6	3.1	205	35	0.0	3
 28	 2	 18	86	131	24.7	2.5	105	39	0.0	6
 28	 2	 19	2	2	22.3	2.3	137	43	0.0	6
 28	 2	 20	0	0	20.9	2.3	58	54	0.0	6
 28	 2	 21	0	0	19.5	2.3	211	56	0.0	6
 28	 2	 22	0	0	18.1	2.1	112	59	0.0	6
 28	 2	 23	0	0	16.7	2.9	49	63	0.0	5
 28	 2	 24	0	0	15.3	2.7	99	69	0.0	5
 1	 3	 1	0	0	13.9	3.0	97	88	0.0	3
 1	 3	 2	0	0	12.6	2.3	78	92	0.0	3
 1	 3	 3	0	0	11.2	2.1	42	94	0.0	3
 1	 3	 4	0	0	10.4	2.1	41	92	0.0	3
 1	 3	 5	0	0	9.7	1.5	46	93	0.0	3
 1	 3	 6	0	0	9.2	1.5	186	89	0.0	3
 1	 3	 7	0	0	8.6	1.4	184	85	0.0	3
 1	 3	 8	35	35	9.5	1.6	174	80	0.0	3
 1	 3	 9	113	251	12.4	2.7	141	71	0.0	3
 1	 3	 10	122	436	15.1	2.3	66	62	0.0	0
 1	 3	 11	204	564	17.2	3.4	55	48	0.0	3
 1	 3	 12	253	673	19.1	3.7	182	41	0.0	4
 1	 3	 13	267	716	20.5	5.7	221	39	0.0	4
 1	 3	 14	247	744	21.6	7.1	194	37	0.0	3
 1	 3	 15	229	629	22.0	6.7	193	36	0.0	3
 1	 3	 16	157	528	22.0	3.7	201	37	0.0	1
 1	 3	 17	67	369	21.2	2.8	231	42	0.0	0
 1	 3	 18	89	159	19.6	2.6	295	48	0.0	3
 1	 3	 19	5	5	17.7	2.1	251	54	0.0	3
 1	 3	 20	0	0	16.3	1.4	216	63	0.0	3
 1	 3	 21	0	0	14.9	1.0	266	66	0.0	3
 1	 3	 22	0	0	13.5	1.0	289	72	0.0	3
 1	 3	 23	0	0	12.1	1.0	232	80	0.0	3
 1	 3	 24	0	0	10.8	1.0	208	88	0.0	3
 2	 3	 1	0	0	9.9	0.7	210	86	0.0	3
 2	 3	 2	0	0	8.9	1.5	179	88	0.0	3
 2	 3	 3	0	0	8.0	1.7	171	91	0.0	3
 2	 3	 4	0	0	7.4	2.1	197	92	0.0	3
 2	 3	 5	0	0	6.9	2.4	191	94	0.0	3
 2	 3	 6	0	0	6.6	2.6	206	98	0.0	3
 2	 3	 7	0	0	6.2	2.3	119	97	0.0	3
 2	 3	 8	38	38	7.3	4.4	43	95	0.0	3
 2	 3	 9	127	283	10.9	4.7	15	80	0.0	3
 2	 3	 10	58	500	14.3	3.4	58	70	0.0	0
 2	 3	 11	75	679	17.3	3.7	38	55	0.0	0
 2	 3	 12	88	802	19.8	4.1	141	49	0.0	0
 2	 3	 13	96	855	21.8	5.4	158	44	0.0	0
 2	 3	 14	94	832	23.0	4.7	96	41	0.0	0
 2	 3	 15	80	745	23.6	5.1	108	41	0.0	0
 2	 3	 16	64	591	23.6	7.5	69	39	0.0	0
 2	 3	 17	53	388	22.5	9.6	77	42	0.0	0
 2	 3	 18	91	167	20.5	8.1	107	45	0.0	4
 2	 3	 19	3	3	18.2	5.7	139	52	0.0	4
 2	 3	 20	0	0	16.8	4.1	107	62	0.0	5
 2	 3	 21	0	0	15.5	4.4	166	62	0.0	5
 2	 3	 22	0	0	14.1	3.2	133	65	0.0	5
 2	 3	 23	0	0	12.8	2.8	212	68	0.0	5
 2	 3	 24	0	0	11.4	3.4	190	72	0.0	5
 3	 3	 1	0	0	10.2	3.0	215	77	0.0	6
 3	 3	 2	0	0	8.8	3.7	159	82	0.0	6
 3	 3	 3	0	0	7.5	5.1	190	85	0.0	6
 3	 3	 4	0	0	6.8	4.1	147	86	0.0	6
 3	 3	 5	0	0	6.0	2.7	214	92	0.0	6
 3	 3	 6	0	0	5.6	3.2	148	91	0.0	6
 3	 3	 7	0	0	5.5	3.4	75	91	0.0	7
 3	 3	 8	38	60	6.4	4.7	59	87	0.0	7
 3	 3	 9	148	200	8.1	5.1	155	81	0.0	7
 3	 3	 10	206	375	10.3	4.7	253	75	0.0	5
 3	 3	 11	322	443	12.0	4.1	297	66	0.0	7
 3	 3	 12	381	478	13.4	3.4	271	63	0.0	8
 3	 3	 13	382	558	14.6	5.1	244	57	0.0	7
 3	 3	 14	362	602	15.8	4.4	188	53	0.0	6
 3	 3	 15	320	543	16.4	4.7	214	54	0.0	6
 3	 3	 16	266	419	16.5	6.0	179	54	0.0	6
 3	 3	 17	200	259	15.9	5.7	81	56	0.0	7
 3	 3	 18	80	111	14.8	4.7	351	61	0.0	7
 3	 3	 19	2	2	13.3	4.1	351	65	0.0	6
 3	 3	 20	0	0	12.0	4.7	54	75	0.0	6
 3	 3	 21	0	0	10.7	4.1	72	78	0.0	5
 3	 3	 22	0	0	9.4	4.1	360	81	0.0	5
 3	 3	 23	0	0	8.0	4.4	19	82	0.0	4
 3	 3	 24	0	0	6.7	3.7	32	85	0.0	4
 4	 3	 1	0	0	5.7	5.1	160	89	0.0	4
 4	 3	 2	0	0	4.6	4.1	111	90	0.0	3
 4	 3	 3	0	0	3.5	4.1	153	94	0.0	3
 4	 3	 4	0	0	2.9	4.1	205	97	0.0	2
 4	 3	 5	0	0	2.3	3.7	183	98	0.0	2
 4	 3	 6	0	0	1.9	3.2	128	99	0.0	1
 4	 3	 7	0	0	1.8	3.7	72	100	0.0	1
 4	 3	 8	37	78	3.0	4.7	32	97	0.0	0
 4	 3	 9	69	274	5.6	6.4	32	90	0.0	0
 4	 3	 10	99	472	8.6	6.4	66	83	0.0	0
 4	 3	 11	145	632	11.4	7.5	111	62	0.0	0
 4	 3	 12	184	741	13.9	5.7	185	57	0.0	1
 4	 3	 13	196	792	15.9	4.7	212	50	0.0	1
 4	 3	 14	188	774	17.4	5.1	172	47	0.0	1
 4	 3	 15	154	694	18.1	5.1	56	44	0.0	0
 4	 3	 16	106	559	18.3	4.7	44	41	0.0	0
 4	 3	 17	71	375	17.5	3.7	88	43	0.0	0
 4	 3	 18	92	168	15.9	2.8	82	48	0.0	5
 4	 3	 19	5	5	13.8	2.3	96	57	0.0	5
 4	 3	 20	0	0	13.0	1.4	122	68	0.0	5
 4	 3	 21	0	0	12.3	1.5	255	71	0.0	5
 4	 3	 22	0	0	11.5	1.9	296	76	0.0	6
 4	 3	 23	0	0	10.7	2.3	301	77	0.0	6
 4	 3	 24	0	0	10.0	2.0	268	80	0.0	6
 5	 3	 1	0	0	9.5	1.7	242	78	0.0	6
 5	 3	 2	0	0	9.1	1.9	294	81	0.0	6
 5	 3	 3	0	0	8.7	1.9	323	84	0.0	7
 5	 3	 4	0	0	8.5	2.3	317	86	0.0	7
 5	 3	 5	0	0	8.2	1.7	286	89	0.0	7
 5	 3	 6	0	0	8.1	1.5	298	95	0.0	7
 5	 3	 7	0	0	8.1	2.3	248	93	0.0	8
 5	 3	 8	31	31	8.6	1.7	208	90	0.0	8
 5	 3	 9	111	111	9.6	1.7	240	85	0.0	8
 5	 3	 10	191	196	10.9	1.3	223	81	0.0	8
 5	 3	 11	247	256	11.6	1.3	224	90	1.9	8
 5	 3	 12	283	293	12.9	1.3	217	87	0.4	8
 5	 3	 13	320	333	13.9	1.1	222	71	0.0	8
 5	 3	 14	298	309	14.4	0.7	288	68	0.0	8
 5	 3	 15	249	255	14.6	1.0	327	80	0.1	8
 5	 3	 16	193	195	14.6	1.3	329	67	0.0	8
 5	 3	 17	145	147	14.2	1.5	309	82	0.7	8
 5	 3	 18	62	62	13.7	1.3	290	70	0.1	8
 5	 3	 19	1	1	12.8	1.3	304	71	0.0	8
 5	 3	 20	0	0	12.3	1.7	289	73	0.0	8
 5	 3	 21	0	0	11.8	2.4	224	77	0.0	8
 5	 3	 22	0	0	11.3	2.4	241	76	0.0	8
 5	 3	 23	0	0	10.8	3.4	315	87	0.2	8
 5	 3	 24	0	0	10.3	6.0	328	90	0.0	8
 6	 3	 1	0	0	9.9	4.1	343	91	0.0	8
 6	 3	 2	0	0	9.5	3.0	334	91	0.0	8
 6	 3	 3	0	0	9.0	2.7	318	94	0.0	8
 6	 3	 4	0	0	8.8	2.4	308	94	0.0	8
 6	 3	 5	0	0	8.6	2.8	334	96	0.0	8
 6	 3	 6	0	0	8.5	2.6	288	96	0.0	8
 6	 3	 7	0	0	8.5	3.4	298	95	0.0	8
 6	 3	 8	45	48	9.3	3.4	239	93	0.0	8
 6	 3	 9	149	176	11.0	3.0	214	84	0.0	8
 6	 3	 10	241	259	12.6	2.4	209	77	0.0	8
 6	 3	 11	317	348	14.1	3.2	221	74	0.0	8
 6	 3	 12	369	428	15.6	4.4	171	69	0.0	8
 6	 3	 13	374	400	16.6	5.7	73	63	0.0	8
 6	 3	 14	361	392	17.2	6.4	183	58	0.0	8
 6	 3	 15	348	377	17.7	7.5	179	57	0.0	8
 6	 3	 16	275	298	17.8	7.5	174	57	0.0	8
 6	 3	 17	166	171	17.2	5.4	70	57	0.0	8
 6	 3	 18	73	73	16.3	4.7	77	57	0.0	8
 6	 3	 19	2	2	15.2	4.4	150	61	0.0	8
 6	 3	 20	0	0	14.4	3.2	134	67	0.0	8
 6	 3	 21	0	0	13.7	4.4	118	71	0.0	8
 6	 3	 22	0	0	12.9	4.1	154	73	0.0	8
 6	 3	 23	0	0	12.2	5.4	178	74	0.0	8
 6	 3	 24	0	0	11.4	4.4	130	75	0.0	8
 7	 3	 1	0	0	10.7	4.1	132	79	0.0	8
 7	 3	 2	0	0	10.0	4.4	152	81	0.0	8
 7	 3	 3	0	0	9.3	6.0	187	86	0.0	8
 7	 3	 4	0	0	8.9	3.2	187	85	0.0	8
 7	 3	 5	0	0	8.6	4.7	248	87	0.0	8
 7	 3	 6	0	0	8.4	4.7	234	90	0.0	8
 7	 3	 7	0	0	8.4	2.3	290	89	0.0	8
 7	 3	 8	31	31	9.0	1.6	271	84	0.0	8
 7	 3	 9	47	47	9.4	1.6	295	82	0.0	8
 7	 3	 10	139	139	10.4	2.1	304	75	0.0	8
 7	 3	 11	74	74	10.6	3.7	319	74	0.0	8
 7	 3	 12	177	180	11.3	4.4	283	70	0.0	8
 7	 3	 13	386	425	13.1	4.1	300	63	0.0	8
 7	 3	 14	376	454	14.5	3.7	296	55	0.0	8
 7	 3	 15	285	315	15.2	3.7	319	51	0.0	8
 7	 3	 16	258	479	16.2	3.0	320	47	0.0	5
 7	 3	 17	114	429	16.9	4.7	326	45	0.0	0
 7	 3	 18	116	211	16.9	5.1	302	43	0.0	5
 7	 3	 19	19	19	15.9	8.6	302	47	0.0	5
 7	 3	 20	0	0	14.5	8.1	305	52	0.0	5
 7	 3	 21	0	0	13.1	8.6	332	56	0.0	5
 7	 3	 22	0	0	11.7	6.7	334	59	0.0	5
 7	 3	 23	0	0	10.3	6.7	324	62	0.0	6
 7	 3	 24	0	0	8.8	6.0	273	66	0.0	6
 8	 3	 1	0	0	7.3	6.4	228	75	0.0	6
 8	 3	 2	0	0	5.7	5.7	277	81	0.0	6
 8	 3	 3	0	0	4.1	6.0	268	87	0.0	6
 8	 3	 4	0	0	3.2	5.1	242	87	0.0	6
 8	 3	 5	0	0	2.3	2.8	242	88	0.0	6
 8	 3	 6	0	0	1.8	1.9	188	90	0.0	7
 8	 3	 7	0	0	1.7	1.7	203	85	0.0	7
 8	 3	 8	52	80	2.8	1.6	111	81	0.0	7
 8	 3	 9	149	202	4.4	2.1	200	78	0.0	7
 8	 3	 10	266	334	6.2	2.0	222	73	0.0	8
 8	 3	 11	302	520	8.4	2.3	260	62	0.0	6
 8	 3	 12	333	635	10.4	2.6	209	55	0.0	6
 8	 3	 13	322	689	12.1	4.7	180	47	0.0	5
 8	 3	 14	347	657	13.2	3.4	248	42	0.0	6
 8	 3	 15	263	651	14.0	3.7	242	39	0.0	4
 8	 3	 16	261	438	14.0	4.1	204	38	0.0	6
 8	 3	 17	210	284	13.3	3.7	215	39	0.0	7
 8	 3	 18	86	120	11.9	7.1	208	44	0.0	7
 8	 3	 19	2	2	10.3	5.4	251	49	0.0	6
 8	 3	 20	0	0	9.0	5.1	186	54	0.0	6
 8	 3	 21	0	0	7.6	6.4	99	62	0.0	6
 8	 3	 22	0	0	6.3	5.1	54	65	0.0	6
 8	 3	 23	0	0	5.0	6.7	162	69	0.0	5
 8	 3	 24	0	0	3.7	7.5	208	73	0.0	5
 9	 3	 1	0	0	2.8	6.0	145	76	0.0	5
 9	 3	 2	0	0	1.8	6.0	31	83	0.0	4
 9	 3	 3	0	0	0.9	7.5	13	87	0.0	4
 9	 3	 4	0	0	0.4	6.0	192	88	0.0	4
 9	 3	 5	0	0	-0.1	4.7	178	85	0.0	3
 9	 3	 6	0	0	-0.4	3.0	201	89	0.0	3
 9	 3	 7	0	0	-0.4	2.4	167	87	0.0	3
 9	 3	 8	42	91	1.2	2.6	125	80	0.0	3
 9	 3	 9	90	278	4.0	3.0	68	74	0.0	2
 9	 3	 10	159	463	7.1	2.3	100	66	0.0	3
 9	 3	 11	204	619	10.0	2.0	140	52	0.0	3
 9	 3	 12	257	708	12.5	4.1	84	46	0.0	4
 9	 3	 13	260	787	14.7	5.1	211	39	0.0	3
 9	 3	 14	226	755	16.2	4.4	98	35	0.0	3
 9	 3	 15	219	677	17.1	5.1	178	35	0.0	3
 9	 3	 16	162	539	17.2	5.1	191	37	0.0	3
 9	 3	 17	121	362	16.5	6.0	134	39	0.0	3
 9	 3	 18	97	169	14.9	7.1	96	44	0.0	5
 9	 3	 19	6	6	12.7	4.4	58	52	0.0	6
 9	 3	 20	0	0	11.9	3.7	125	62	0.0	6
 9	 3	 21	0	0	11.2	4.7	75	66	0.0	6
 9	 3	 22	0	0	10.4	5.4	192	70	0.0	6
 9	 3	 23	0	0	9.6	3.7	109	74	0.0	6
 9	 3	 24	0	0	8.8	4.4	164	76	0.0	6
 10	 3	 1	0	0	8.2	4.7	165	75	0.0	7
 10	 3	 2	0	0	7.5	4.4	108	80	0.0	7
 10	 3	 3	0	0	6.8	4.4	138	81	0.0	7
 10	 3	 4	0	0	6.4	3.0	96	83	0.0	7
 10	 3	 5	0	0	6.0	3.0	94	86	0.0	7
 10	 3	 6	0	0	5.7	3.7	167	94	0.0	7
 10	 3	 7	0	0	5.7	5.1	235	95	0.0	8
 10	 3	 8	44	44	6.3	2.7	215	93	0.0	8
 10	 3	 9	125	126	7.4	2.1	96	86	0.0	8
 10	 3	 10	214	223	8.7	2.0	52	82	0.0	8
 10	 3	 11	276	289	9.9	2.4	111	82	0.0	8
 10	 3	 12	332	355	11.0	2.4	102	81	0.0	8
 10	 3	 13	362	389	12.0	2.6	125	77	0.0	8
 10	 3	 14	357	384	12.6	3.4	85	78	0.1	8
 10	 3	 15	316	332	13.0	4.4	15	79	0.0	8
 10	 3	 16	231	238	12.9	6.7	46	77	0.0	8
 10	 3	 17	144	144	12.4	5.7	51	80	0.0	8
 10	 3	 18	65	65	11.6	5.4	177	85	0.0	8
 10	 3	 19	2	2	10.6	4.7	192	89	0.0	8
 10	 3	 20	0	0	10.4	5.1	187	92	0.0	8
 10	 3	 21	0	0	10.1	3.4	173	99	0.0	8
 10	 3	 22	0	0	9.9	2.8	185	100	0.0	8
 10	 3	 23	0	0	9.7	2.6	203	100	0.0	8
 10	 3	 24	0	0	9.4	1.9	223	100	0.0	8
 11	 3	 1	0	0	9.4	1.7	114	100	0.0	8
 11	 3	 2	0	0	9.5	2.0	47	98	0.1	8
 11	 3	 3	0	0	9.4	1.7	20	98	0.8	8
 11	 3	 4	0	0	9.6	1.4	70	98	0.3	8
 11	 3	 5	0	0	9.7	1.4	46	99	0.0	8
 11	 3	 6	0	0	9.7	1.5	60	99	0.1	8
 11	 3	 7	0	0	9.8	1.4	82	99	0.0	8
 11	 3	 8	40	40	10.6	1.9	9	99	0.0	8
 11	 3	 9	122	123	11.9	1.1	49	98	0.0	8
 11	 3	 10	191	195	13.3	0.9	78	88	0.0	8
 11	 3	 11	258	267	14.7	0.6	172	82	0.0	8
 11	 3	 12	285	297	15.8	0.7	146	78	0.0	8
 11	 3	 13	314	329	16.8	0.4	210	75	0.0	8
 11	 3	 14	295	308	17.5	0.4	99	68	0.0	8
 11	 3	 15	270	278	17.9	0.3	173	63	0.0	8
 11	 3	 16	212	217	18.0	0.5	180	60	0.0	8
 11	 3	 17	149	151	17.7	0.1	154	58	0.0	8
 11	 3	 18	70	70	17.1	0.6	158	59	0.0	8
 11	 3	 19	2	2	16.2	0.1	174	60	0.0	8
 11	 3	 20	0	0	15.2	0.4	99	61	0.0	8
 11	 3	 21	0	0	14.1	0.5	128	65	0.0	7
 11	 3	 22	0	0	13.1	0.6	136	66	0.0	7
 11	 3	 23	0	0	12.0	0.8	30	73	0.0	7
 11	 3	 24	0	0	11.0	0.8	44	78	0.0	7
 12	 3	 1	0	0	9.7	0.5	73	82	0.0	6
 12	 3	 2	0	0	8.3	0.4	68	89	0.0	6
 12	 3	 3	0	0	6.9	0.7	131	90	0.0	6
 12	 3	 4	0	0	6.2	0.8	104	92	0.0	6
 12	 3	 5	0	0	5.5	0.3	108	94	0.0	5
 12	 3	 6	0	0	5.0	0.5	144	90	0.0	5
 12	 3	 7	0	0	4.9	0.6	254	92	0.0	5
 12	 3	 8	50	92	6.4	0.5	208	89	0.0	5
 12	 3	 9	121	272	8.8	0.6	192	80	0.0	4
 12	 3	 10	204	445	11.5	0.6	80	69	0.0	5
 12	 3	 11	260	590	14.0	0.9	142	61	0.0	5
 12	 3	 12	293	686	16.2	1.3	208	53	0.0	5
 12	 3	 13	290	765	18.1	1.1	166	48	0.0	4
 12	 3	 14	253	746	19.5	1.9	187	43	0.0	4
 12	 3	 15	240	672	20.2	2.6	207	39	0.0	4
 12	 3	 16	168	538	20.4	2.0	187	39	0.0	3
 12	 3	 17	90	388	19.8	2.6	102	38	0.0	0
 12	 3	 18	97	184	18.4	2.6	64	41	0.0	5
 12	 3	 19	8	8	16.4	2.3	85	47	0.0	5
 12	 3	 20	0	0	14.9	1.4	87	57	0.0	4
 12	 3	 21	0	0	13.4	1.4	148	65	0.0	4
 12	 3	 22	0	0	11.9	1.4	53	69	0.0	4
 12	 3	 23	0	0	10.5	2.0	74	74	0.0	3
 12	 3	 24	0	0	9.0	1.9	107	75	0.0	3
 13	 3	 1	0	0	7.8	1.3	170	84	0.0	3
 13	 3	 2	0	0	6.6	0.8	199	85	0.0	2
 13	 3	 3	0	0	5.4	1.7	233	89	0.0	2
 13	 3	 4	0	0	4.8	1.5	244	90	0.0	2
 13	 3	 5	0	0	4.1	1.0	297	92	0.0	1
 13	 3	 6	0	0	3.7	1.0	242	95	0.0	1
 13	 3	 7	0	0	3.6	1.2	234	94	0.0	1
 13	 3	 8	35	131	5.8	1.3	299	87	0.0	0
 13	 3	 9	57	373	9.3	1.9	249	75	0.0	0
 13	 3	 10	70	606	13.1	2.1	277	54	0.0	0
 13	 3	 11	87	793	16.6	2.0	211	43	0.0	0
 13	 3	 12	100	917	19.6	2.0	200	37	0.0	0
 13	 3	 13	106	970	22.0	2.8	170	33	0.0	0
 13	 3	 14	103	945	23.7	2.8	179	30	0.0	0
 13	 3	 15	93	849	24.6	3.7	174	30	0.0	0
 13	 3	 16	78	685	24.8	3.4	171	29	0.0	0
 13	 3	 17	63	467	23.9	4.1	114	30	0.0	0
 13	 3	 18	115	222	21.9	3.7	79	35	0.0	5
 13	 3	 19	8	8	19.2	4.4	81	40	0.0	5
 13	 3	 20	0	0	17.8	5.7	28	51	0.0	4
 13	 3	 21	0	0	16.3	4.7	40	54	0.0	4
 13	 3	 22	0	0	14.8	6.4	52	61	0.0	4
 13	 3	 23	0	0	13.4	5.1	26	63	0.0	3
 13	 3	 24	0	0	11.9	5.7	54	67	0.0	3
 14	 3	 1	0	0	10.7	4.1	57	69	0.0	3
 14	 3	 2	0	0	9.5	5.7	73	75	0.0	2
 14	 3	 3	0	0	8.3	7.1	33	79	0.0	2
 14	 3	 4	0	0	7.6	5.1	50	80	0.0	2
 14	 3	 5	0	0	7.0	2.7	85	84	0.0	1
 14	 3	 6	0	0	6.5	2.3	54	86	0.0	1
 14	 3	 7	0	0	6.5	2.1	89	88	0.0	1
 14	 3	 8	41	114	8.4	2.3	218	86	0.0	0
 14	 3	 9	62	331	11.5	4.7	167	77	0.0	0
 14	 3	 10	88	535	14.7	5.1	220	58	0.0	0
 14	 3	 11	115	706	17.8	6.4	242	47	0.0	0
 14	 3	 12	128	828	20.5	6.4	242	41	0.0	0
 14	 3	 13	138	876	22.7	5.4	223	35	0.0	0
 14	 3	 14	127	859	24.3	5.4	185	32	0.0	0
 14	 3	 15	109	767	25.1	3.4	167	31	0.0	0
 14	 3	 16	81	618	25.2	3.2	184	30	0.0	0
 14	 3	 17	60	419	24.4	4.1	210	33	0.0	0
 14	 3	 18	99	198	22.6	4.7	288	37	0.0	4
 14	 3	 19	9	9	20.3	3.4	291	43	0.0	4
 14	 3	 20	0	0	18.8	4.4	288	54	0.0	4
 14	 3	 21	0	0	17.4	4.1	215	57	0.0	3
 14	 3	 22	0	0	15.9	5.4	225	61	0.0	3
 14	 3	 23	0	0	14.5	4.4	193	67	0.0	3
 14	 3	 24	0	0	13.0	5.4	210	70	0.0	3
 15	 3	 1	0	0	11.9	3.7	73	74	0.0	2
 15	 3	 2	0	0	10.7	4.4	168	79	0.0	2
 15	 3	 3	0	0	9.4	6.7	170	82	0.0	2
 15	 3	 4	0	0	8.8	7.5	95	83	0.0	1
 15	 3	 5	0	0	8.1	5.4	100	84	0.0	1
 15	 3	 6	0	0	7.7	5.1	70	86	0.0	1
 15	 3	 7	1	1	7.6	3.2	29	89	0.0	1
 15	 3	 8	38	128	9.8	3.0	85	84	0.0	0
 15	 3	 9	48	357	13.1	3.0	117	75	0.0	0
 15	 3	 10	58	581	16.6	5.1	66	59	0.0	0
 15	 3	 11	75	760	19.9	5.4	3	49	0.0	0
 15	 3	 12	90	882	22.8	4.7	307	41	0.0	0
 15	 3	 13	97	936	25.1	4.1	325	34	0.0	0
 15	 3	 14	93	913	26.8	7.5	344	31	0.0	0
 15	 3	 15	80	817	27.6	6.7	6	28	0.0	0
 15	 3	 16	63	657	27.8	6.7	57	28	0.0	0
 15	 3	 17	49	444	26.9	7.5	51	30	0.0	0
 15	 3	 18	106	210	24.9	6.7	41	36	0.0	4
 15	 3	 19	8	8	22.4	7.1	48	43	0.0	4
 15	 3	 20	0	0	21.0	5.4	75	54	0.0	4
 15	 3	 21	0	0	19.7	6.4	190	61	0.0	3
 15	 3	 22	0	0	18.3	5.7	109	66	0.0	3
 15	 3	 23	0	0	17.0	4.4	161	68	0.0	3
 15	 3	 24	0	0	15.6	3.4	198	72	0.0	3
 16	 3	 1	0	0	14.6	5.4	59	76	0.0	2
 16	 3	 2	0	0	13.5	5.1	56	80	0.0	2
 16	 3	 3	0	0	12.4	7.5	46	83	0.0	2
 16	 3	 4	0	0	11.8	6.0	117	83	0.0	1
 16	 3	 5	0	0	11.2	3.7	136	87	0.0	1
 16	 3	 6	0	0	10.8	4.1	126	92	0.0	1
 16	 3	 7	1	1	10.7	2.8	135	92	0.0	1
 16	 3	 8	46	117	12.7	3.7	75	87	0.0	0
 16	 3	 9	83	325	15.7	6.0	77	81	0.0	0
 16	 3	 10	118	522	18.8	6.4	119	63	0.0	0
 16	 3	 11	163	685	21.8	9.1	162	51	0.0	0
